"year","month","sido","signgu","quantity_ton"
2019,6,"경기도","수원시영통구",1542608
2019,6,"경기도","성남시중원구",12870
2019,6,"경기도","성남시분당구",14756
2019,6,"경기도","의정부시",218507
2019,6,"경기도","안양시",182731
2019,6,"경기도","부천시",564795
2019,6,"경기도","평택시",243005
2019,6,"경기도","동두천시",237547
2019,6,"경기도","고양시",14341
2019,6,"경기도","과천시",7561
2019,6,"경기도","구리시",772353
2019,6,"경기도","남양주시",475872
2019,6,"경기도","오산시",841428
2019,6,"경기도","시흥시",63294
2019,6,"경기도","군포시",202426
2019,6,"경기도","의왕시",737370
2019,6,"경기도","하남시",112330
2019,6,"경기도","용인시",3669139
2019,6,"경기도","파주시",859000
2019,6,"경기도","이천시",474377
2019,6,"경기도","화성시",2877550
2019,6,"경기도","양주시",592616
2019,6,"경기도","포천시",227497
2019,6,"경기도","여주시",154074
2019,7,"경기도","수원시장안구",912984
2019,7,"경기도","수원시권선구",1366835
2019,7,"경기도","수원시팔달구",426601
2019,7,"경기도","수원시영통구",1704774
2019,7,"경기도","성남시중원구",14102
2019,7,"경기도","성남시분당구",16464
2019,7,"경기도","의정부시",240024
2019,7,"경기도","안양시",199704
2019,7,"경기도","부천시",609352
2019,7,"경기도","평택시",271352
2019,7,"경기도","동두천시",265717
2019,7,"경기도","고양시",14705
2019,7,"경기도","과천시",8643
2019,7,"경기도","구리시",886669
2019,7,"경기도","남양주시",552470
2019,7,"경기도","오산시",925154
2019,7,"경기도","시흥시",74076
2019,7,"경기도","군포시",224921
2019,7,"경기도","의왕시",863678
2019,7,"경기도","하남시",128846
2019,7,"경기도","용인시",4040229
2019,7,"경기도","파주시",967276
2019,7,"경기도","이천시",549324
2019,7,"경기도","화성시",3179331
2019,7,"경기도","양주시",658455
2019,7,"경기도","포천시",259624
2019,7,"경기도","여주시",179673
2019,8,"경기도","수원시장안구",864418
2019,8,"경기도","수원시권선구",1269420
2019,8,"경기도","수원시팔달구",397600
2019,8,"경기도","수원시영통구",1593219
2019,8,"경기도","성남시중원구",14220
2019,8,"경기도","성남시분당구",14960
2019,8,"경기도","의정부시",223748
2019,8,"경기도","안양시",188944
2019,8,"경기도","부천시",568611
2019,8,"경기도","평택시",253807
2019,8,"경기도","동두천시",251618
2019,8,"경기도","고양시",14348
2019,8,"경기도","과천시",8560
2019,8,"경기도","구리시",807052
2019,8,"경기도","남양주시",584884
2019,8,"경기도","오산시",863331
2019,8,"경기도","시흥시",245886
2019,8,"경기도","군포시",209976
2019,8,"경기도","의왕시",781444
2019,8,"경기도","하남시",126134
2019,8,"경기도","용인시",3813888
2019,8,"경기도","파주시",911845
2019,8,"경기도","이천시",522598
2019,8,"경기도","화성시",2972006
2019,8,"경기도","양주시",623929
2019,8,"경기도","포천시",244573
2019,8,"경기도","여주시",170213
2019,9,"경기도","수원시장안구",837427
2019,9,"경기도","수원시권선구",1249597
2019,9,"경기도","수원시팔달구",391601
2019,9,"경기도","수원시영통구",1521494
2019,9,"경기도","성남시중원구",12786
2019,9,"경기도","성남시분당구",13925
2019,9,"경기도","의정부시",220531
2019,9,"경기도","안양시",191282
2019,9,"경기도","부천시",560241
2019,9,"경기도","평택시",240166
2019,9,"경기도","동두천시",244638
2019,9,"경기도","고양시",13850
2019,9,"경기도","과천시",7857
2019,9,"경기도","구리시",794322
2019,9,"경기도","남양주시",598911
2019,9,"경기도","오산시",850668
2019,9,"경기도","시흥시",311020
2019,9,"경기도","군포시",211047
2019,9,"경기도","의왕시",741428
2019,9,"경기도","하남시",129433
2019,9,"경기도","용인시",3589722
2019,9,"경기도","파주시",873070
2019,9,"경기도","이천시",497918
2019,9,"경기도","화성시",2890710
2019,9,"경기도","양주시",603413
2019,9,"경기도","포천시",240958
2019,9,"경기도","여주시",160301
2019,10,"경기도","수원시장안구",757020
2019,10,"경기도","수원시권선구",1124402
2019,10,"경기도","수원시팔달구",348026
2019,10,"경기도","수원시영통구",1415591
2019,10,"경기도","성남시중원구",11717
2019,10,"경기도","성남시분당구",12749
2019,10,"경기도","의정부시",201131
2019,10,"경기도","안양시",169179
2019,10,"경기도","부천시",502560
2019,10,"경기도","평택시",221002
2019,10,"경기도","동두천시",217663
2019,10,"경기도","고양시",12994
2019,10,"경기도","과천시",7401
2019,10,"경기도","구리시",725787
2019,10,"경기도","남양주시",551463
2019,10,"경기도","오산시",782788
2019,10,"경기도","시흥시",304691
2019,10,"경기도","군포시",190153
2019,10,"경기도","의왕시",698134
2019,10,"경기도","하남시",114900
2019,10,"경기도","용인시",3296528
2019,10,"경기도","파주시",787608
2019,10,"경기도","이천시",447451
2019,10,"경기도","화성시",2677526
2019,10,"경기도","양주시",545933
2019,10,"경기도","포천시",218316
2019,10,"경기도","여주시",143498
2019,11,"경기도","수원시장안구",861144
2019,11,"경기도","수원시권선구",1281627
2019,11,"경기도","수원시팔달구",396805
2019,11,"경기도","수원시영통구",1588183
2019,11,"경기도","성남시중원구",12652
2019,11,"경기도","성남시분당구",14405
2019,11,"경기도","의정부시",222459
2019,11,"경기도","안양시",191666
2019,11,"경기도","부천시",574158
2019,11,"경기도","평택시",252950
2019,11,"경기도","동두천시",237978
2019,11,"경기도","고양시",14119
2019,11,"경기도","과천시",8080
2019,11,"경기도","구리시",822143
2019,11,"경기도","남양주시",610385
2019,11,"경기도","오산시",889215
2019,11,"경기도","시흥시",346645
2019,11,"경기도","군포시",215219
2019,11,"경기도","의왕시",767226
2019,11,"경기도","하남시",128212
2019,11,"경기도","용인시",3681064
2019,11,"경기도","파주시",865415
2019,11,"경기도","이천시",500547
2019,11,"경기도","화성시",2996293
2019,11,"경기도","양주시",599706
2019,11,"경기도","포천시",240941
2019,11,"경기도","여주시",162384
2019,12,"경기도","수원시장안구",763735
2019,12,"경기도","수원시권선구",1139866
2019,12,"경기도","수원시팔달구",352255
2019,12,"경기도","수원시영통구",1449395
2019,12,"경기도","성남시중원구",11472
2019,12,"경기도","성남시분당구",13512
2019,12,"경기도","의정부시",203949
2019,12,"경기도","안양시",175171
2019,12,"경기도","부천시",518191
